Title,female,male,authors_nr,female_nr,male_nr,participation_f,participation_m,Title,Year,auhtors_nr_cat,authors_nr_cat
"""Creeping"" or just information seeking? Gender differences in partner monitoring in response to jealousy on Facebook",0.67,0.33,3,2,1,1,1,"""Creeping"" or just information seeking? Gender differences in partner monitoring in response to jealousy on Facebook",2014,3,3
"""Don't worry, you can still be a flight attendant."" Examining implicit and explicit gender bias in the classroom, teacher-student relationships, and their effect on student math achievement",1.0,0.0,1,1,0,1,0,"""Don't worry, you can still be a flight attendant."" Examining implicit and explicit gender bias in the classroom, teacher-student relationships, and their effect on student math achievement",2016,1,1
"""Free as in sexist?"" Free culture and the gender gap",0.0,1.0,1,0,1,0,1,"""Free as in sexist?"" Free culture and the gender gap",2013,1,1
"""How Executive Pay Leads to Racial and Gender Bias, Aggression and Worse Executive Performance""",0.5,0.5,6,3,3,1,1,"""How Executive Pay Leads to Racial and Gender Bias, Aggression and Worse Executive Performance""",2016,5-10,5-10
"""Master"" of none: Institutional language change linked to reduced gender bias",0.67,0.33,3,2,1,1,1,"""Master"" of none: Institutional language change linked to reduced gender bias",2021,3,3
"""Millennials, Social Media, Moral Identity & Support for Social Causes:Do Gender Differences Count?""",0.4,0.6,5,2,3,1,1,"""Millennials, Social Media, Moral Identity & Support for Social Causes:Do Gender Differences Count?""",2013,5-10,5-10
"""No, Gender doesn't make a Difference...?"": Studying Negotiations and Gender in Organizations",1.0,0.0,1,1,0,1,0,"""No, Gender doesn't make a Difference...?"": Studying Negotiations and Gender in Organizations",2012,1,1
"""She had a caterpillar with her and loved all kinds of slimy things normal girls would not touch."" Combating Gender Bias with Nontraditional Literature in an Urban Elementary Classroom",0.0,1.0,1,0,1,0,1,"""She had a caterpillar with her and loved all kinds of slimy things normal girls would not touch."" Combating Gender Bias with Nontraditional Literature in an Urban Elementary Classroom",2012,1,1
"""To Bluff like a Man or Fold like a Girl?"" – Gender Biased Deceptive Behavior in Online Poker",0.0,1.0,4,0,4,0,1,"""To Bluff like a Man or Fold like a Girl?"" – Gender Biased Deceptive Behavior in Online Poker",2016,4,4
"""Uncles are One Thing . . . [but] Aunts are Always Nasty!"" Relational failures and the discourse of gender bias in foster family tales",1.0,0.0,1,1,0,1,0,"""Uncles are One Thing . . . [but] Aunts are Always Nasty!"" Relational failures and the discourse of gender bias in foster family tales",2013,1,1
"""Why Men Should Apologize, and Women Shouldn’t – Gender-Biased Perceptions of Reactions to Mistakes""",1.0,0.0,2,2,0,1,0,"""Why Men Should Apologize, and Women Shouldn’t – Gender-Biased Perceptions of Reactions to Mistakes""",2013,2,2
"""Why"" vs. ""What,"" or ""The Bad Penny Opera"": Gender and Bias in Science",0.0,1.0,2,0,2,0,1,"""Why"" vs. ""What,"" or ""The Bad Penny Opera"": Gender and Bias in Science",2017,2,2
#MedicineToo—Gender Bias in Medical Training: A National Survey of Residents,1.0,0.0,1,1,0,1,0,#MedicineToo—Gender Bias in Medical Training: A National Survey of Residents,2021,1,1
'Come out and fight like a woman':Gender Differences in Violent Behaviour,1.0,0.0,1,1,0,1,0,'Come out and fight like a woman':Gender Differences in Violent Behaviour,2018,1,1
"'I Occasionally Learn Something': Paul Samuelson, Gender Bias and Discrimination Before 1973",0.5,0.5,2,1,1,1,1,"'I Occasionally Learn Something': Paul Samuelson, Gender Bias and Discrimination Before 1973",2018,2,2
"'There is No Time for Rest': Gendered CSR, Sustainable Development and the Unpaid Care Work Governance Gap",1.0,0.0,1,1,0,1,0,"'There is No Time for Rest': Gendered CSR, Sustainable Development and the Unpaid Care Work Governance Gap",2018,1,1
'What He Did Was Lawful': Divorce Litigation and Gender Inequality in China,1.0,0.0,1,1,0,1,0,'What He Did Was Lawful': Divorce Litigation and Gender Inequality in China,2015,1,1
(#WomeninDDW) Persistent Speaker Gender Gap at the Premier Digestive Disease Event,1.0,0.0,2,2,0,1,0,(#WomeninDDW) Persistent Speaker Gender Gap at the Premier Digestive Disease Event,2022,2,2
"(Anti-Discrimination) Laws, AI and Gender Bias",0.5,0.5,2,1,1,1,1,"(Anti-Discrimination) Laws, AI and Gender Bias",2019,2,2
(Measurement of Occupational Gender Bias in Chinese Natural Language Processing Tasks),0.17,0.83,6,1,5,1,1,(Measurement of Occupational Gender Bias in Chinese Natural Language Processing Tasks),2022,5-10,5-10
(Mis)perceptions about the Gender Gap in the Labor Market,1.0,0.0,1,1,0,1,0,(Mis)perceptions about the Gender Gap in the Labor Market,2021,1,1
(Re)triggering Backlash: Responses to News About Wikipedia’s Gender Gap,1.0,0.0,2,2,0,1,0,(Re)triggering Backlash: Responses to News About Wikipedia’s Gender Gap,2013,2,2
(Super-)cultural clustering explains gender differences too,1.0,0.0,2,2,0,1,0,(Super-)cultural clustering explains gender differences too,2022,2,2
008 VGLL3 is a key regulator of transcriptome changes in gender biased autoimmune conditions,0.36,0.64,11,4,7,1,1,008 VGLL3 is a key regulator of transcriptome changes in gender biased autoimmune conditions,2017,11-20,11-20
0186 Gender bias in occupational epidemiology research: a systematic review on work-related lung cancer,0.0,1.0,1,0,1,0,1,0186 Gender bias in occupational epidemiology research: a systematic review on work-related lung cancer,2014,1,1
02.10 X-linked mirnas associated with gender differences in rheumatoid arthritis,0.67,0.33,6,4,2,1,1,02.10 X-linked mirnas associated with gender differences in rheumatoid arthritis,2017,5-10,5-10
0256 Labour market segregation and gender differences in sickness absence: trends in 2005–2013 in finland,1.0,0.0,1,1,0,1,0,0256 Labour market segregation and gender differences in sickness absence: trends in 2005–2013 in finland,2017,1,1
062 VGLL3 is a key regulator of gender biased transcriptome changes and may explain female bias in lupus and other autoimmune diseases,0.38,0.62,8,3,5,1,1,062 VGLL3 is a key regulator of gender biased transcriptome changes and may explain female bias in lupus and other autoimmune diseases,2016,5-10,5-10
