,PaperID,Title,FieldsOfStudy,FieldsOfStudy_s2,Journal
0,2062bd1530ba6df30912c78932534c99604ea039,Race and Gender Bias in Three Administrative Contexts: Impact on Work Assignments in State Supreme Courts,['Psychology'],"[{'category': 'Psychology', 'source': 'external'}, {'category': 'Political Science', 'source': 's2-fos-model'}]","{'name': 'Journal of Public Administration Research and Theory', 'pages': '625-648', 'volume': '22'}"
1,236d56dc3ac09b932ab8f828d2ad9be1868b8dc0,News: “Gender Bias May Account for Auditory Comprehension Differences”,['Psychology'],"[{'category': 'Psychology', 'source': 'external'}, {'category': 'Psychology', 'source': 's2-fos-model'}]","{'name': 'The Hearing Journal', 'pages': '31,32,34', 'volume': '65'}"
2,0d3d91f9dc528d0db6209c8cf9d62068addebdc6,Gender bias in journals of gender studies,"['Psychology', 'Computer Science']","[{'category': 'Psychology', 'source': 'external'}, {'category': 'Computer Science', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}]","{'name': 'Scientometrics', 'pages': '135-150', 'volume': '93'}"
3,4d838eed7a092528799f7abf60334ca817598f85,"Gender Bias in the Allocation of Education Expenditure: Evidence fromAndhra Pradesh, India",['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Sociology', 'source': 's2-fos-model'}]","{'name': '', 'volume': ''}"
4,147ba4663ce54eb8304ac9cf6acbe09f7db16e76,Gender bias in attitude towards girls in the Use of computers in selected schools in central Africa,['Political Science'],"[{'category': 'Political Science', 'source': 'external'}, {'category': 'Education', 'source': 's2-fos-model'}]","{'name': '', 'volume': ''}"
5,55e4d488abde72de80376fb9cdc2b9c9474dd639,Gender bias in the rural community as reflected in Minfong Ho`s Sing to the Dawn,['Psychology'],"[{'category': 'Psychology', 'source': 'external'}, {'category': 'Sociology', 'source': 's2-fos-model'}]","{'name': '', 'pages': '29-41', 'volume': '15'}"
6,8a5723307cd5e7b47aa922762b504934adce4f50,Workplace Gender Bias: Not Just between Strangers,['Psychology'],"[{'category': 'Psychology', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}]","{'name': 'North American Journal of Psychology', 'pages': '213', 'volume': '14'}"
7,a8d29e1fec8a3019b82824d361f8cb65b7723ccc,Gender Bias in der Forschungsförderung - ein Forschungsüberblick,['Sociology'],"[{'category': 'Sociology', 'source': 'external'}]","{'name': '', 'pages': '158-162', 'volume': '21'}"
8,b2a1f91427fba3cbcbbf5487db100d3820d80c67,Mechanisms of women's own-gender bias and sex differences in memory for faces,['Psychology'],"[{'category': 'Psychology', 'source': 'external'}, {'category': 'Psychology', 'source': 's2-fos-model'}]","{'name': '', 'volume': ''}"
9,b1732be98e58261a7e34f1c31e6a4109112c5e8c,Quality of pharmaceutical advertising and gender bias in medical journals (1998-2008): a review of the scientific literature.,['Medicine'],"[{'category': 'Medicine', 'source': 'external'}, {'category': 'Medicine', 'source': 's2-fos-model'}, {'category': 'Political Science', 'source': 's2-fos-model'}]","{'name': 'Gaceta sanitaria', 'pages': '\n          469-76\n        ', 'volume': '26 5'}"
