,Title,Year,Author,PublicationType,CitationCount,URL
6,A Content Analysis of Textbooks: Investigating Gender Bias as a Social Prominence in Iranian High School English Textbooks,2012,A. Gharbavi,,65,https://www.semanticscholar.org/paper/2045f3d1c6ef3d3c91a8346c54f7d428df524cc3
8,Gender Bias in Intrahousehold Allocation: Evidence from an Unintentional Experiment,2012,L. H. Braido,,50,https://www.semanticscholar.org/paper/5ef099b67b64067cdddf0a3b6d9ceb2e4730ae80
14,Gender bias in journals of gender studies,2012,H. Kretschmer,['JournalArticle'],34,https://www.semanticscholar.org/paper/0d3d91f9dc528d0db6209c8cf9d62068addebdc6
15,Gender bias in journals of gender studies,2012,R. Kundra,['JournalArticle'],34,https://www.semanticscholar.org/paper/0d3d91f9dc528d0db6209c8cf9d62068addebdc6
16,Gender bias in journals of gender studies,2012,D. Beaver,['JournalArticle'],34,https://www.semanticscholar.org/paper/0d3d91f9dc528d0db6209c8cf9d62068addebdc6
23,The Application of Functional Linguistics in Exposing Gender Bias in Iranian High School English Textbooks,2012,A. Gharbavi,,18,https://www.semanticscholar.org/paper/e80ae00bb59eb0e40e1bcf92cc2568f20781a110
30,Socialisation and gender bias at the household level among school-attending girls in a tribal community of the Kalahandi district of Eastern India,2012,D. Behera,,9,https://www.semanticscholar.org/paper/e3b54928abbc61c33aefdf21a89c3ab49ee101cc
31,Socialisation and gender bias at the household level among school-attending girls in a tribal community of the Kalahandi district of Eastern India,2012,B. Babu,,9,https://www.semanticscholar.org/paper/e3b54928abbc61c33aefdf21a89c3ab49ee101cc
39,Skirting the Issues? Experimental Evidence of Gender Bias in IPO Prospectus Evaluations,2012,R. Wuebker,,42,https://www.semanticscholar.org/paper/edd84e297df29fc8ae44d5b87af3d151ef4515f8
45,The professional socialization of collegiate female athletic trainers: navigating experiences of gender bias.,2012,Stephanie M. Mazerolle,"['JournalArticle', 'Review']",32,https://www.semanticscholar.org/paper/7c1b20de879adca463bea8b44f387ff3e6a220a4
47,The professional socialization of collegiate female athletic trainers: navigating experiences of gender bias.,2012,L. Burton,"['JournalArticle', 'Review']",32,https://www.semanticscholar.org/paper/7c1b20de879adca463bea8b44f387ff3e6a220a4
49,Race and Gender Bias in Three Administrative Contexts: Impact on Work Assignments in State Supreme Courts,2012,R. K. Christensen,,27,https://www.semanticscholar.org/paper/2062bd1530ba6df30912c78932534c99604ea039
51,Race and Gender Bias in Three Administrative Contexts: Impact on Work Assignments in State Supreme Courts,2012,Justin M. Stritch,,27,https://www.semanticscholar.org/paper/2062bd1530ba6df30912c78932534c99604ea039
57,Gender bias in virtual learning environments: an exploratory study,2012,M. S. Tutwiler,['JournalArticle'],23,https://www.semanticscholar.org/paper/9bb8221b71a979b4d0d331db3d5d1f4091d54084
61,Emotions in context: Anger causes ethnic bias but not gender bias in men but not women,2012,T. Pollet,,11,https://www.semanticscholar.org/paper/92df9e16f5008947b9a01796c8df45884a7bfe48
63,Emotions in context: Anger causes ethnic bias but not gender bias in men but not women,2012,S. Demoulin,,11,https://www.semanticscholar.org/paper/92df9e16f5008947b9a01796c8df45884a7bfe48
64,Emotions in context: Anger causes ethnic bias but not gender bias in men but not women,2012,Susan C. Roberts,,11,https://www.semanticscholar.org/paper/92df9e16f5008947b9a01796c8df45884a7bfe48
